Time,US PPI YoY,US PPI YoY F,US PPI YoY P,US PPI MoM,US PPI MoM F,US PPI MoM P,US PPI Core YoY,US PPI Core F YoY,US PPI Core P YoY,US PPI Core MoM,US PPI Core MoM F,US PPI Core MoM P,UK PPI YoY,UK PPI YoY F,UK PPI P,Column 1,2,3,EU PPI YoY,EU PPI YoY F,EU PPI YoY P,EU PPI MoM,EU PPI MoM F,EU PPI MoM P,GER PPI YoY,GER PPI YoY F,GER PPI YoY P,GER PPI MoM,GER PPI MoM F,GER PPI MoM P,FRANCE PPI YoY,FRANCE PPI YoY F,FRANCE PPI YoY P,FRANCE PPI MoM,FRANCE PPI MoM F,FRANCE PPI MoM P,ITALY PPI YoY,ITALY PPI YoY F,ITALY PPI YoY P,ITALY PPI MoM,ITALY PPI MoM F,ITALY PPI MoM P,AU PPI YoY,AU PPI YoY F,AU PPI YoY P,CANADA PPI YoY,CANADA PPI YoY F,CANADA PPI YoY P,CANADA PPI MoM,CANADA PPI MoM F,CANADA PPI MoM P,MEXICO PPI YoY,MEXICO PPI YoY F,MEXICO PPI YoY P,BRAZIL PPI MoM,BRAZIL PPI MoM F,BRAZIL PPI MoM P,China PPI YoY,China PPI YoY F,China PPI YoY P,JAPAN PPI YoY,JAPAN PPI YoY F,JAPAN PPI YoY P,JAPAN PPI MoM,JAPAN PPI MoM F,JAPAN PPI MoM P,KOREA PPI YoY,KOREA PPI YoY F,KOREA PPI YoY P,KOREA PPI MoM,KOREA PPI MoM F,KOREA PPI MoM P
10/2015,-1.6%,-1.2%,-1.6%,-0.4%,0.2%,-0.40%,0.10%,0.50%,0.10%,-0.30%,0.10%,-0.30%,-1.6%,-1.20%,-1.60%,-0.30%,-0.40%,-0.40%,-3.10%,-3.20%,-3.20%,-0.30%,-0.40%,-0.30%,-2.3%,-2.00%,-2.30%,-0.4%,-0.20%,-0.40%,,,,0.2%,,0.20%,-2.9%,,-3.00%,-0.1%,,-0.20%,1.90%,,1.90%,-0.40%,,-0.40%,-0.50%,-0.10%,-0.5%,,,,,,,-5.90%,-5.80%,-5.90%,-3.80%,-3.50%,-3.80%,-0.60%,-0.40%,-0.60%,-4.5%,,-4.60%,-0.6%,,-0.70%
11/2015,-1.1%,-1.4%,-1.1%,0.3%,-0.1%,0.30%,0.50%,0.20%,0.50%,0.30%,0.10%,0.30%,-1.1%,-1.40%,-1.10%,-0.20%,-0.20%,-0.30%,-3.20%,-3.10%,-3.00%,-0.20%,-0.20%,-0.20%,-2.5%,-2.50%,-2.50%,-0.2%,-0.20%,-0.20%,,,,0.1%,,0.10%,-3.3%,,-3.20%,-0.5%,,-0.40%,1.90%,,1.90%,-0.20%,,-0.30%,-0.20%,0.10%,-0.3%,,,,,,,-5.90%,-5.90%,-5.90%,-3.60%,-3.80%,-3.60%,-0.10%,-0.30%,-0.10%,-4.6%,,-4.70%,-0.3%,,-0.40%
12/2015,-1.0%,-1.0%,-1.0%,-0.2%,-0.2%,-0.20%,0.30%,0.30%,0.30%,0.10%,0.10%,0.20%,-1.0%,-1.00%,-1.00%,-0.80%,-0.60%,-0.20%,-3.00%,-2.80%,-3.00%,-0.80%,-0.60%,-0.80%,-2.3%,-2.20%,-2.30%,-0.5%,-0.40%,-0.50%,,,,-1.2%,,-1.20%,-3.3%,,-3.20%,-0.7%,,-0.60%,1.90%,,1.90%,1.10%,,0.90%,-0.20%,-0.30%,-0.3%,,,,,,,-5.90%,-5.80%,-5.90%,-3.40%,-3.50%,-3.40%,-0.30%,-0.40%,-0.30%,-3.9%,,-4.00%,-0.2%,,-0.20%
1/2016,-0.2%,-0.6%,-0.2%,0.1%,-0.2%,0.10%,0.60%,0.40%,0.60%,0.40%,0.10%,0.40%,-0.2%,-0.60%,-0.20%,-1.00%,-0.70%,-0.80%,-2.90%,-2.90%,-4.20%,-1.00%,-0.70%,-1.10%,-2.4%,-2.00%,-2.40%,-0.7%,-0.30%,-0.70%,,,,-0.8%,,-0.80%,-2.5%,,-2.50%,-0.7%,,-0.70%,1.20%,,1.20%,1.70%,,1.70%,0.50%,-0.10%,0.5%,,,,,,,-5.30%,-5.40%,-5.30%,-3.10%,-2.80%,-3.10%,-0.90%,-0.70%,-0.90%,-3.3%,,-3.30%,-0.5%,,-0.50%
2/2016,0.0%,0.1%,0.0%,-0.2%,-0.2%,-0.20%,1.20%,1.10%,1.20%,0.00%,0.10%,0.00%,0.0%,0.10%,0.00%,-0.70%,-0.60%,-1.10%,-4.20%,-4.00%,-4.10%,-0.70%,-0.60%,-0.70%,-3.0%,-2.60%,-3.00%,-0.5%,-0.20%,-0.50%,,,,-0.5%,,-0.50%,-3.5%,,-3.60%,-0.4%,,-0.50%,1.20%,,1.20%,-1.40%,,-1.30%,-1.10%,-0.20%,-1.0%,,,,,,,-4.90%,-4.90%,-4.90%,-3.40%,-3.40%,-3.40%,-0.20%,-0.30%,-0.20%,-3.4%,-3.70%,-3.40%,0.0%,-0.40%,
3/2016,-0.1%,0.3%,-0.1%,-0.1%,0.2%,-0.10%,1.00%,1.30%,1.00%,-0.10%,0.10%,-0.10%,-0.1%,0.30%,-0.10%,0.30%,0.10%,-0.70%,-4.20%,-4.30%,-4.40%,0.30%,0.10%,0.30%,-3.1%,-2.90%,-3.10%,0.0%,0.20%,0.00%,,,,0.3%,,0.30%,-3.4%,,-3.40%,0.2%,,0.20%,1.20%,,1.20%,-2.10%,,-2.00%,-0.60%,0.10%,-0.6%,,,,,,,-4.30%,-4.60%,-4.30%,-3.80%,-3.50%,-3.80%,-0.10%,,-0.10%,-3.3%,,-3.30%,-0.1%,,-0.10%
4/2016,0.0%,0.2%,0.0%,0.2%,0.3%,0.20%,0.90%,1.00%,0.90%,0.10%,0.10%,0.10%,0.0%,0.20%,0.00%,-0.30%,0.10%,0.30%,-4.40%,-4.10%,-3.80%,-0.30%,0.10%,-0.30%,-3.1%,-3.00%,-3.10%,0.1%,0.20%,0.10%,,,,-0.5%,,-0.50%,-4.1%,,-4.00%,-0.7%,,-0.60%,1.00%,,1.00%,-1.60%,,-1.60%,-0.50%,0.20%,-0.5%,,,,,,,-3.40%,-3.80%,-3.40%,-4.20%,-3.70%,-4.20%,-0.30%,0.20%,-0.30%,-3.1%,-3.10%,-3.00%,0.2%,0.20%,0.30%
5/2016,-0.1%,-0.1%,-0.1%,0.4%,0.3%,0.40%,1.20%,1.00%,1.20%,0.30%,0.10%,0.30%,-0.1%,-0.10%,-0.10%,0.60%,0.30%,-0.30%,-3.90%,-4.10%,-3.10%,0.60%,0.30%,0.60%,-2.7%,-2.80%,-2.70%,0.4%,0.30%,0.40%,,,,0.3%,,0.30%,-3.7%,,-3.60%,0.5%,,0.60%,1.00%,,1.00%,-1.10%,,-0.90%,1.10%,0.40%,1.2%,,,,,,,-2.80%,-3.30%,-2.80%,-4.20%,-4.20%,-4.20%,0.20%,0.10%,0.20%,-3.1%,-2.80%,-3.00%,0.0%,0.30%,0.10%
6/2016,0.3%,-0.1%,0.3%,0.5%,0.3%,0.50%,1.30%,1.00%,1.30%,0.40%,0.10%,0.40%,0.3%,-0.10%,0.30%,0.70%,0.40%,0.60%,-3.10%,-3.50%,-2.60%,0.70%,0.40%,0.80%,-2.2%,-2.40%,-2.20%,0.4%,0.20%,0.40%,,,,0.4%,,0.40%,-3.0%,,,0.5%,,,1.00%,,1.00%,-0.80%,,-0.80%,0.60%,0.50%,0.7%,,,,,,,-2.60%,-2.50%,-2.60%,-4.20%,-4.20%,-4.20%,-0.10%,-0.10%,,-2.7%,,-2.70%,0.2%,,0.20%
7/2016,-0.2%,0.2%,-0.2%,-0.4%,0.1%,-0.40%,0.70%,1.20%,0.70%,-0.30%,0.20%,-0.30%,-0.2%,0.20%,-0.20%,0.10%,0.10%,0.80%,-2.80%,-2.90%,-1.90%,0.10%,0.10%,0.30%,-2.0%,-2.10%,-2.00%,0.2%,0.10%,0.20%,,,,0.0%,,0.00%,,,-3.00%,,,0.50%,0.50%,0.80%,0.50%,-1.30%,,-1.30%,0.20%,-0.10%,0.2%,,,,,,,-1.70%,-2.00%,-1.70%,-3.90%,-4.00%,-3.90%,,,-0.10%,-2.4%,,-2.50%,-0.1%,,-0.10%
8/2016,0.0%,0.1%,0.0%,0.0%,0.1%,0.00%,1.00%,1.00%,1.00%,0.10%,0.10%,0.10%,0.0%,0.10%,0.00%,-0.20%,-0.10%,0.30%,-2.10%,-2.10%,-1.50%,-0.20%,-0.10%,-0.20%,-1.6%,-1.60%,-1.60%,-0.1%,0.10%,-0.10%,,,,0.0%,,0.00%,-1.1%,,-1.00%,-0.2%,,-0.10%,0.50%,0.80%,0.50%,-1.30%,,-1.30%,-0.50%,0.10%,-0.4%,,,,,,,-0.80%,-0.90%,-0.80%,-3.60%,-3.50%,-3.60%,-0.30%,-0.20%,-0.30%,-1.7%,,-1.80%,0.1%,,0.10%
9/2016,0.7%,0.6%,0.7%,0.3%,0.2%,0.30%,1.20%,1.20%,1.20%,0.20%,0.10%,0.20%,0.7%,0.60%,0.70%,0.10%,-0.10%,-0.20%,-1.50%,-1.80%,-0.40%,0.10%,-0.10%,0.10%,-1.4%,-1.20%,-1.40%,-0.2%,0.20%,-0.20%,,,,0.1%,,0.10%,-0.7%,,-0.70%,0.0%,,0.00%,0.50%,0.80%,0.50%,-0.50%,,-0.40%,0.40%,0.20%,0.4%,,,,,,,0.10%,-0.30%,0.10%,-3.20%,-3.20%,-3.20%,0.00%,-0.10%,0.00%,-1.1%,,-1.10%,0.2%,,0.20%
