Time,US PPI YoY,US PPI YoY F,US PPI YoY P,US PPI MoM,US PPI MoM F,US PPI MoM P,US PPI Core YoY,US PPI Core F YoY,US PPI Core P YoY,US PPI Core MoM,US PPI Core MoM F,US PPI Core MoM P,UK PPI YoY,UK PPI YoY F,UK PPI P,Column 1,2,3,EU PPI YoY,EU PPI YoY F,EU PPI YoY P,EU PPI MoM,EU PPI MoM F,EU PPI MoM P,GER PPI YoY,GER PPI YoY F,GER PPI YoY P,GER PPI MoM,GER PPI MoM F,GER PPI MoM P,FRANCE PPI YoY,FRANCE PPI YoY F,FRANCE PPI YoY P,FRANCE PPI MoM,FRANCE PPI MoM F,FRANCE PPI MoM P,ITALY PPI YoY,ITALY PPI YoY F,ITALY PPI YoY P,ITALY PPI MoM,ITALY PPI MoM F,ITALY PPI MoM P,AU PPI YoY,AU PPI YoY F,AU PPI YoY P,CANADA PPI YoY,CANADA PPI YoY F,CANADA PPI YoY P,CANADA PPI MoM,CANADA PPI MoM F,CANADA PPI MoM P,MEXICO PPI YoY,MEXICO PPI YoY F,MEXICO PPI YoY P,BRAZIL PPI MoM,BRAZIL PPI MoM F,BRAZIL PPI MoM P,China PPI YoY,China PPI YoY F,China PPI YoY P,JAPAN PPI YoY,JAPAN PPI YoY F,JAPAN PPI YoY P,JAPAN PPI MoM,JAPAN PPI MoM F,JAPAN PPI MoM P,KOREA PPI YoY,KOREA PPI YoY F,KOREA PPI YoY P,KOREA PPI MoM,KOREA PPI MoM F,KOREA PPI MoM P
8/2017,2.4%,2.5%,2.4%,0.2%,0.3%,0.20%,2.00%,2.10%,2.00%,0.10%,0.20%,0.10%,2.4%,2.50%,2.40%,0.30%,0.10%,0.00%,2.50%,2.30%,2.80%,0.30%,0.10%,0.30%,2.6%,2.50%,2.60%,0.2%,0.10%,0.20%,,,,0.4%,,0.40%,1.5%,,1.50%,0.4%,,0.40%,1.60%,,1.60%,1.90%,,2.30%,0.30%,0.50%,0.4%,,,,,,,6.30%,5.60%,6.30%,2.90%,3.00%,2.90%,0.00%,0.10%,0.00%,3.2%,,3.30%,0.3%,,0.50%
9/2017,2.6%,2.5%,2.6%,0.4%,0.4%,0.40%,2.20%,2.00%,2.20%,0.40%,0.20%,0.40%,2.6%,2.50%,2.60%,0.60%,0.40%,0.30%,2.90%,2.80%,2.50%,0.60%,0.40%,0.50%,3.1%,2.90%,3.10%,0.3%,0.10%,0.30%,,,,0.5%,,0.50%,1.8%,,1.60%,0.3%,,0.10%,1.60%,,1.60%,1.50%,,1.50%,-0.30%,0.40%,-0.3%,,,,,,,6.90%,6.30%,6.90%,3.00%,3.00%,3.00%,0.20%,0.20%,0.20%,3.6%,3.40%,3.80%,0.5%,,0.70%
10/2017,2.8%,2.4%,2.8%,0.4%,0.1%,0.40%,2.40%,2.30%,2.40%,0.40%,0.20%,0.40%,2.8%,2.40%,2.80%,0.40%,0.30%,0.50%,2.50%,2.60%,2.80%,0.40%,0.30%,0.40%,2.7%,2.70%,2.70%,0.3%,0.30%,0.30%,,,,0.2%,,0.20%,2.0%,,2.00%,0.3%,,0.30%,1.70%,1.20%,1.70%,1.80%,,1.70%,1.00%,0.50%,1.1%,,,,,,,6.90%,6.60%,6.90%,3.40%,3.10%,3.40%,0.30%,0.10%,0.30%,3.5%,,3.60%,0.0%,,
11/2017,3.1%,2.9%,3.1%,0.4%,0.4%,0.40%,2.40%,2.30%,2.40%,0.30%,0.20%,0.30%,3.1%,2.90%,3.10%,0.60%,0.30%,0.40%,2.80%,2.50%,2.20%,0.60%,0.30%,0.60%,2.5%,2.60%,2.50%,0.1%,0.20%,0.10%,,,,1.4%,,1.40%,2.5%,,2.50%,0.4%,,0.40%,1.70%,1.20%,1.70%,2.70%,,2.70%,1.40%,0.80%,1.4%,,,,,,,5.80%,5.90%,5.80%,3.50%,3.30%,3.60%,0.40%,0.20%,0.50%,3.1%,,3.10%,-0.1%,,-0.10%
12/2017,2.6%,3.0%,2.6%,-0.1%,0.2%,-0.10%,2.30%,2.50%,2.30%,-0.10%,0.20%,-0.10%,2.6%,3.00%,2.60%,0.20%,0.30%,0.60%,2.20%,2.30%,1.60%,0.20%,0.30%,0.10%,2.3%,2.30%,2.30%,0.2%,0.20%,0.20%,,,,0.0%,,0.00%,2.0%,,2.00%,0.0%,,0.40%,1.70%,1.20%,1.70%,2.20%,,2.30%,-0.10%,-0.20%,-0.1%,,,,,,,4.90%,4.80%,4.90%,3.10%,3.20%,3.10%,0.20%,0.40%,0.20%,2.3%,,2.20%,0.1%,,0.10%
1/2018,2.7%,2.5%,2.7%,0.4%,0.4%,0.40%,2.20%,2.10%,2.20%,0.40%,0.20%,0.40%,2.7%,2.50%,2.70%,0.40%,0.40%,0.10%,1.50%,1.60%,1.60%,0.40%,0.40%,0.40%,2.1%,1.90%,2.10%,0.5%,0.50%,0.50%,,,,0.1%,,0.10%,1.7%,,1.70%,0.7%,,0.70%,1.70%,,1.70%,2.00%,,2.10%,0.30%,0.50%,0.4%,,,,,,,4.30%,4.30%,4.30%,2.70%,2.70%,2.70%,0.30%,0.20%,0.30%,1.2%,,1.20%,0.4%,,0.50%
2/2018,2.8%,2.8%,2.8%,0.2%,0.1%,0.20%,2.50%,2.50%,2.50%,0.20%,0.20%,0.20%,2.8%,2.80%,2.80%,0.10%,0.00%,0.40%,1.60%,1.50%,2.10%,0.10%,0.00%,0.10%,1.8%,2.00%,1.80%,-0.1%,0.10%,-0.10%,,,,0.1%,,0.10%,1.6%,,1.60%,0.1%,,0.20%,1.70%,,1.70%,1.90%,,2.30%,0.10%,0.40%,0.3%,,,,,,,3.70%,3.80%,3.70%,2.50%,2.60%,2.60%,0.00%,0.20%,0.10%,1.3%,,1.30%,0.4%,,0.40%
3/2018,3.0%,2.9%,3.0%,0.3%,0.1%,0.30%,2.70%,2.60%,2.70%,0.30%,0.20%,0.30%,3.0%,2.90%,3.00%,0.10%,0.10%,0.10%,2.10%,2.10%,1.90%,0.10%,0.10%,0.10%,1.9%,2.00%,1.90%,0.1%,0.20%,0.10%,,,,0.4%,,0.40%,2.0%,,1.80%,0.4%,,0.20%,1.70%,,1.70%,2.30%,,2.40%,0.80%,0.70%,0.9%,,,,,,,3.10%,3.20%,3.10%,2.10%,2.10%,2.10%,-0.10%,-0.10%,-0.10%,1.4%,,1.30%,0.0%,,0.40%
4/2018,2.6%,2.8%,2.6%,0.1%,0.2%,0.10%,2.30%,2.40%,2.30%,0.20%,0.20%,0.20%,2.6%,2.80%,2.60%,0.00%,0.30%,0.10%,2.00%,2.40%,3.00%,0.00%,0.30%,0.00%,2.0%,1.80%,2.00%,0.5%,0.30%,0.50%,,,,-0.6%,,-0.60%,1.3%,,1.40%,-0.4%,,-0.30%,1.50%,,1.50%,2.40%,,2.30%,0.50%,0.70%,0.4%,,,,,,,3.40%,3.40%,3.40%,2.00%,2.00%,2.10%,0.10%,0.10%,0.10%,1.6%,,1.70%,0.1%,,0.10%
5/2018,3.1%,2.8%,3.1%,0.5%,0.3%,0.50%,2.40%,2.30%,2.40%,0.30%,0.20%,0.30%,3.1%,2.80%,3.10%,0.80%,0.40%,0.00%,3.00%,2.40%,3.60%,0.80%,0.40%,0.80%,2.7%,2.50%,2.70%,0.5%,0.40%,0.50%,,,,0.6%,,0.60%,2.4%,,2.40%,0.7%,,0.70%,1.50%,,1.50%,3.10%,,3.40%,1.00%,0.90%,1.2%,,,,,,,4.10%,3.90%,4.10%,2.70%,2.20%,2.70%,0.60%,0.20%,0.60%,2.2%,,2.20%,0.2%,,0.30%
6/2018,3.4%,3.2%,3.4%,0.3%,0.2%,0.30%,2.80%,2.60%,2.80%,0.30%,0.20%,0.30%,3.4%,3.20%,3.40%,0.40%,0.30%,0.80%,3.60%,3.50%,4.30%,0.40%,0.30%,0.40%,3.0%,2.90%,3.00%,0.3%,0.30%,0.30%,,,,0.1%,,0.10%,2.9%,,2.90%,0.3%,,0.30%,1.50%,,1.50%,5.10%,,5.30%,0.50%,0.30%,0.7%,,,,,,,4.70%,4.50%,4.70%,2.80%,2.80%,2.80%,0.20%,0.10%,0.20%,2.6%,,2.60%,0.0%,,0.30%
7/2018,3.3%,3.4%,3.3%,0.0%,0.2%,0.00%,2.70%,2.80%,2.70%,0.10%,0.20%,0.10%,3.3%,3.40%,3.30%,0.40%,0.30%,0.40%,4.00%,3.90%,4.30%,0.40%,0.30%,0.70%,3.0%,3.00%,2.90%,0.2%,0.40%,0.20%,,,,0.6%,,0.60%,3.2%,,4.30%,0.3%,,1.40%,2.10%,,2.10%,6.60%,,6.70%,-0.20%,-0.30%,-0.2%,,,,,,,4.60%,4.40%,4.60%,3.10%,2.90%,3.00%,0.50%,0.30%,0.40%,2.9%,,3.00%,0.4%,,0.50%
8/2018,2.8%,3.2%,2.8%,-0.1%,0.2%,-0.10%,2.30%,2.70%,2.30%,-0.10%,0.20%,-0.10%,2.8%,3.20%,2.80%,0.30%,0.20%,0.70%,4.20%,3.90%,4.60%,0.30%,0.20%,0.40%,3.1%,2.90%,3.10%,0.3%,0.20%,0.30%,,,,0.2%,,0.20%,4.4%,,4.40%,0.4%,,0.40%,2.10%,,2.10%,5.80%,,5.70%,-0.50%,0.60%,-0.5%,,,,,,,4.10%,4.00%,4.10%,3.00%,3.10%,3.00%,0.00%,0.10%,0.40%,3.0%,,3.00%,0.5%,,0.50%
9/2018,2.6%,2.8%,2.6%,0.2%,0.2%,0.20%,2.50%,2.50%,2.50%,0.20%,0.20%,0.20%,2.6%,2.80%,2.60%,0.50%,0.40%,0.40%,4.50%,4.20%,4.90%,0.50%,0.40%,0.60%,3.2%,2.90%,3.20%,0.5%,0.30%,0.50%,,,,0.3%,,0.30%,4.7%,,4.70%,0.4%,,0.40%,2.10%,,2.10%,6.20%,,6.30%,0.10%,,0.2%,,,,,,,3.60%,3.70%,3.60%,3.00%,2.90%,3.00%,0.30%,0.20%,0.30%,2.7%,,2.70%,0.3%,,0.30%
10/2018,2.9%,2.5%,2.9%,0.6%,0.2%,0.60%,2.60%,2.30%,2.60%,0.50%,0.20%,0.50%,2.9%,2.50%,2.90%,0.80%,0.50%,0.60%,4.90%,4.50%,4.00%,0.80%,0.50%,0.80%,3.3%,3.30%,3.30%,0.3%,0.30%,0.30%,,,,0.4%,,0.40%,5.8%,,5.80%,1.3%,,1.30%,2.00%,,2.00%,5.30%,,5.20%,0.20%,-0.50%,0.2%,,,,,,,3.30%,3.30%,3.30%,2.90%,2.80%,2.90%,0.30%,0.10%,0.30%,2.2%,,2.20%,-0.4%,,-0.40%
11/2018,2.5%,2.5%,2.5%,0.1%,0.1%,0.10%,2.70%,2.50%,2.70%,0.30%,0.10%,0.30%,2.5%,2.50%,2.50%,-0.30%,-0.20%,0.80%,4.00%,4.10%,3.00%,-0.30%,-0.20%,-0.30%,3.3%,3.20%,3.30%,0.1%,-0.10%,0.10%,,,,0.1%,,0.10%,4.5%,,4.50%,-0.7%,,-0.70%,2.00%,,2.00%,2.80%,,2.80%,-0.80%,,-0.8%,,,,,,,2.70%,2.70%,2.70%,2.30%,2.40%,2.30%,-0.30%,-0.10%,-0.30%,1.6%,,1.50%,-0.7%,,-0.70%
12/2018,2.5%,2.5%,2.5%,-0.2%,-0.1%,-0.10%,2.70%,2.90%,2.70%,-0.10%,0.20%,-0.10%,2.5%,2.50%,2.50%,-0.80%,-0.70%,-0.30%,3.00%,3.20%,2.90%,-0.80%,-0.70%,-0.80%,2.7%,2.90%,2.70%,-0.4%,-0.20%,-0.40%,,,,-1.1%,,-1.10%,4.1%,,4.10%,-0.5%,,-0.50%,2.00%,,2.00%,2.20%,,-2.00%,-0.70%,0.20%,-0.8%,,,,,,,0.90%,1.60%,0.90%,1.50%,1.80%,1.50%,-0.60%,-0.30%,-0.60%,1.0%,,0.90%,-0.5%,,-0.60%
1/2019,2.0%,2.1%,2.0%,-0.1%,0.1%,-0.10%,2.60%,2.50%,2.60%,0.30%,0.20%,0.30%,2.0%,2.10%,2.00%,0.40%,0.40%,-0.80%,3.00%,2.90%,3.00%,0.40%,0.40%,0.30%,2.6%,2.20%,2.60%,0.4%,-0.20%,0.40%,,,,0.1%,,0.10%,3.4%,,3.40%,0.0%,,-0.50%,1.90%,2.00%,1.90%,1.00%,,1.00%,-0.30%,0.30%,-0.3%,,,,,,,0.10%,0.30%,0.10%,0.60%,1.10%,0.60%,-0.60%,-0.20%,-0.60%,0.2%,,0.20%,-0.2%,,-0.20%
2/2019,1.9%,1.9%,1.9%,0.1%,0.2%,0.10%,2.50%,2.60%,2.50%,0.10%,0.20%,0.10%,1.9%,1.90%,1.90%,0.10%,0.20%,0.30%,3.00%,3.10%,2.90%,0.10%,0.20%,0.10%,2.6%,2.90%,2.60%,-0.1%,0.20%,-0.10%,,,,0.4%,,0.40%,3.1%,,3.10%,-0.1%,,-0.10%,1.90%,2.00%,1.90%,1.20%,,1.20%,0.30%,,0.3%,,,,,,,0.10%,0.20%,0.10%,0.80%,0.70%,0.90%,0.20%,0.10%,0.30%,-0.2%,-0.60%,-0.20%,0.1%,-0.10%,0.10%
3/2019,2.2%,1.9%,2.2%,0.6%,0.3%,0.60%,2.40%,2.40%,2.40%,0.30%,0.20%,0.30%,2.2%,1.90%,2.20%,-0.10%,0.00%,0.10%,2.90%,3.00%,2.60%,-0.10%,0.00%,-0.10%,2.4%,2.70%,2.40%,-0.1%,0.20%,-0.10%,,,,0.0%,-0.10%,0.00%,2.9%,2.50%,2.90%,0.0%,0.20%,-0.10%,1.90%,2.00%,1.90%,1.50%,,1.50%,1.30%,0.70%,1.3%,,,,,,,0.40%,0.40%,0.40%,1.30%,1.10%,1.30%,0.30%,0.20%,0.30%,0.1%,,0.10%,0.3%,,0.30%
4/2019,2.2%,2.3%,2.2%,0.2%,0.2%,0.20%,2.40%,2.50%,2.40%,0.10%,0.20%,0.10%,2.2%,2.30%,2.20%,-0.30%,0.30%,-0.10%,2.60%,3.20%,1.60%,-0.30%,0.30%,-0.30%,2.5%,2.40%,2.50%,0.5%,0.30%,0.50%,,,,-0.6%,,-0.60%,2.1%,,2.10%,-1.1%,,-1.10%,2.00%,1.90%,2.00%,1.80%,,1.70%,0.80%,0.70%,0.8%,,,,,,,0.90%,0.60%,0.90%,1.20%,1.10%,1.20%,0.30%,0.20%,0.30%,0.6%,0.50%,0.60%,0.3%,0.20%,0.30%
5/2019,1.8%,2.0%,1.8%,0.1%,0.1%,0.10%,2.30%,2.30%,2.30%,0.20%,0.20%,0.20%,1.8%,2.00%,1.80%,-0.10%,-0.10%,-0.30%,1.60%,1.70%,0.70%,-0.10%,-0.10%,-0.10%,1.9%,2.10%,1.90%,-0.1%,0.20%,-0.10%,,,,-0.4%,0.10%,-0.40%,1.5%,1.80%,1.50%,0.1%,0.00%,0.10%,2.00%,1.90%,2.00%,0.60%,,0.40%,0.10%,0.10%,-0.1%,,,,,,1.40%,0.60%,0.60%,0.60%,0.70%,0.70%,0.60%,-0.10%,0.20%,-0.10%,0.4%,0.80%,0.40%,0.0%,0.50%,0.00%
6/2019,1.7%,1.6%,1.7%,0.1%,0.1%,0.10%,2.30%,2.20%,2.30%,0.30%,0.20%,0.30%,1.7%,1.60%,1.70%,-0.60%,-0.30%,-0.10%,0.70%,0.80%,0.10%,-0.60%,-0.30%,-0.60%,1.2%,1.40%,1.20%,-0.4%,-0.10%,-0.40%,,,,-0.5%,-0.20%,-0.50%,0.9%,0.90%,0.90%,-0.3%,-0.10%,-0.30%,2.00%,1.90%,2.00%,-1.70%,,-1.70%,-1.40%,-0.10%,-1.4%,,,,-1.10%,,-1.10%,0.00%,0.30%,0.00%,-0.10%,0.40%,-0.10%,-0.50%,-0.30%,-0.50%,0.1%,0.50%,0.10%,-0.3%,-0.10%,-0.30%
7/2019,1.7%,1.7%,1.7%,0.2%,0.2%,0.20%,2.10%,2.40%,2.10%,-0.10%,0.20%,-0.10%,1.7%,1.70%,1.70%,0.20%,0.20%,-0.60%,0.20%,0.20%,-0.80%,0.20%,0.20%,0.10%,1.1%,1.00%,1.10%,0.1%,0.00%,0.10%,,,,0.4%,,0.40%,-0.5%,,-0.70%,0.0%,,-0.20%,1.60%,1.80%,1.60%,-1.70%,,-1.70%,-0.30%,0.40%,-0.3%,,,,-1.20%,,-1.20%,-0.30%,0.00%,-0.30%,-0.60%,-0.50%,-0.60%,0.00%,0.10%,0.00%,-0.3%,,-0.30%,0.0%,,0.00%
8/2019,1.8%,1.7%,1.8%,0.1%,0.1%,0.10%,2.30%,2.20%,2.30%,0.30%,0.20%,0.30%,1.8%,1.70%,1.80%,-0.50%,-0.30%,0.10%,-0.80%,-0.50%,-1.20%,-0.50%,-0.30%,-0.50%,0.3%,0.60%,0.30%,-0.5%,-0.20%,-0.50%,,,,0.0%,,0.00%,-1.4%,-1.00%,-1.40%,-0.4%,0.00%,-0.40%,1.60%,1.80%,1.60%,-1.00%,,-1.00%,0.20%,0.30%,0.2%,,,,0.90%,,0.90%,-0.80%,-0.90%,-0.80%,-0.90%,-0.80%,-0.90%,-0.30%,-0.20%,-0.30%,-0.6%,-0.90%,-0.60%,0.2%,-0.10%,0.20%
9/2019,1.4%,1.8%,1.4%,-0.3%,0.1%,-0.30%,2.00%,2.30%,2.00%,-0.30%,0.20%,-0.30%,1.4%,1.80%,1.40%,0.10%,0.10%,-0.50%,-1.20%,-1.20%,-1.90%,0.10%,0.10%,0.10%,-0.1%,-0.30%,-0.10%,-0.1%,-0.10%,0.10%,,,,0.1%,0.30%,0.10%,-1.7%,-0.90%,-1.60%,0.1%,-0.10%,0.20%,1.60%,1.80%,1.60%,-1.30%,,-1.30%,-0.10%,0.20%,-0.1%,,,,0.50%,,0.50%,-1.20%,-1.20%,-1.20%,-1.10%,-1.20%,-1.10%,0.00%,-0.10%,-0.30%,-0.7%,-0.70%,-0.80%,0.1%,0.30%,0.10%
10/2019,1.1%,0.9%,1.1%,0.4%,0.3%,0.40%,1.60%,1.50%,1.60%,0.30%,0.20%,0.30%,1.1%,0.90%,1.10%,0.10%,0.00%,0.10%,-1.90%,-1.90%,-1.40%,0.10%,0.00%,0.10%,-0.6%,-0.40%,-0.60%,-0.2%,-0.10%,-0.20%,,,,-0.1%,,-0.10%,-3.0%,-2.70%,-2.90%,-0.1%,-0.20%,0.00%,1.40%,1.40%,1.40%,-1.30%,,-1.40%,0.10%,,0.1%,,,,0.60%,,0.60%,-1.60%,-1.50%,-1.60%,-0.40%,-0.30%,-0.40%,1.10%,1.20%,1.10%,-0.6%,-0.50%,-0.70%,-0.2%,0.20%,-0.20%
11/2019,1.1%,1.2%,1.1%,0.0%,0.2%,0.00%,1.30%,1.60%,1.30%,-0.20%,0.20%,-0.20%,1.1%,1.20%,1.10%,0.20%,0.10%,0.10%,-1.40%,-1.50%,-0.60%,0.20%,0.10%,0.10%,-0.7%,-0.60%,-0.70%,0.0%,0.10%,0.00%,,,,1.1%,0.00%,1.10%,-2.5%,-3.00%,-2.60%,-0.2%,-0.10%,-0.30%,1.40%,1.40%,1.40%,-0.40%,,-0.60%,0.10%,0.20%,-0.1%,,,,0.90%,,0.90%,-1.40%,-1.50%,-1.40%,0.10%,-0.30%,0.10%,0.20%,0.10%,0.20%,-0.1%,,-0.10%,-0.1%,,-0.10%
12/2019,1.3%,1.3%,1.3%,0.1%,0.2%,0.20%,1.10%,1.30%,1.10%,0.10%,0.20%,0.10%,1.3%,1.30%,1.30%,0.00%,0.30%,0.10%,-0.70%,-0.70%,-0.70%,0.00%,0.30%,0.10%,-0.2%,-0.20%,-0.20%,0.1%,0.20%,0.10%,,,,0.0%,0.00%,0.10%,-2.1%,-2.40%,4.10%,0.0%,-0.10%,-0.50%,1.40%,1.40%,1.40%,0.30%,,0.50%,0.10%,0.20%,0.3%,,,,0.70%,,0.70%,-0.50%,-0.40%,-0.50%,0.90%,0.90%,0.90%,0.10%,0.20%,0.10%,0.7%,0.20%,0.70%,0.3%,-0.10%,0.30%
1/2020,2.1%,1.6%,2.1%,0.5%,0.1%,0.50%,1.70%,1.30%,1.70%,0.50%,0.10%,0.50%,2.1%,1.60%,2.10%,0.40%,0.50%,0.10%,-0.50%,-0.50%,-1.40%,0.40%,0.50%,0.20%,0.2%,-0.40%,0.20%,0.8%,0.20%,0.80%,,,,-0.1%,,-0.10%,-2.3%,,-2.30%,-0.2%,,-0.20%,1.30%,,1.30%,0.50%,,0.50%,-0.30%,0.10%,-0.3%,,,,0.30%,,0.30%,0.10%,0.10%,0.10%,1.70%,1.50%,1.50%,0.20%,0.20%,0.10%,1.0%,1.40%,1.10%,0.2%,0.40%,0.40%
2/2020,1.3%,1.8%,1.3%,-0.6%,-0.1%,-0.60%,1.40%,1.70%,1.40%,-0.30%,0.10%,-0.30%,1.3%,1.80%,1.30%,-0.60%,-0.20%,0.20%,-1.30%,-0.70%,-2.80%,-0.60%,-0.20%,-0.70%,-0.1%,0.20%,-0.10%,-0.4%,-0.10%,-0.40%,,,,-0.6%,-0.10%,-0.90%,-2.6%,,-2.70%,-0.4%,,-0.50%,1.30%,,1.30%,-0.30%,,-0.30%,-0.50%,0.10%,-0.6%,,,,0.70%,,0.70%,-0.40%,-0.30%,-0.40%,0.80%,1.00%,0.80%,-0.40%,-0.30%,-0.40%,0.7%,,0.70%,-0.3%,,-0.30%
3/2020,0.7%,0.5%,0.7%,-0.2%,-0.4%,-0.20%,1.40%,1.20%,1.40%,0.20%,0.10%,0.20%,0.7%,0.50%,0.70%,-1.50%,-1.30%,-0.70%,-2.80%,-2.60%,-4.50%,-1.50%,-1.30%,-1.50%,-0.8%,-0.80%,-0.80%,-0.8%,-0.70%,-0.80%,,,,-1.7%,,-1.70%,-3.6%,,-3.70%,-1.0%,,-1.10%,1.30%,,1.30%,-2.40%,,-3.00%,-0.90%,-1.70%,-1.5%,,,,1.30%,,1.30%,-1.50%,-1.10%,-1.50%,-0.40%,-0.10%,-0.40%,-0.90%,-0.70%,-0.90%,-0.5%,,-0.50%,-0.8%,-0.50%,-0.90%
4/2020,-1.2%,-0.2%,-1.2%,-1.3%,-0.5%,-1.30%,0.60%,0.90%,0.60%,-0.30%,0.00%,-0.30%,-1.2%,-0.20%,-1.20%,-2.00%,-1.80%,-1.50%,-4.50%,-4.00%,-5.00%,-2.00%,-1.80%,-2.00%,-1.9%,-1.80%,-1.90%,-0.7%,-0.60%,-0.70%,,,,-2.9%,,-2.90%,-5.1%,,-5.10%,-2.6%,,-2.60%,-0.40%,,-0.40%,-6.00%,,-6.00%,-2.30%,-1.70%,-2.3%,,,,0.10%,,0.10%,-3.10%,-2.60%,-3.10%,-2.30%,-1.60%,-2.40%,-1.50%,-0.90%,-1.60%,-1.5%,,-1.70%,-0.7%,,-0.90%
5/2020,-0.8%,-1.2%,-0.8%,0.4%,0.1%,0.40%,0.30%,0.40%,0.30%,-0.10%,-0.10%,-0.10%,-0.8%,-1.20%,-0.80%,-0.60%,-0.50%,-2.00%,-5.00%,-4.80%,-3.70%,-0.60%,-0.50%,-0.60%,-2.2%,-2.10%,-2.20%,-0.4%,-0.30%,-0.40%,,,,-0.1%,,-0.10%,-5.3%,,-5.30%,-0.1%,,-0.10%,-0.40%,,-0.40%,-4.90%,,-4.90%,1.20%,,1.2%,,,,1.20%,,1.20%,-3.70%,-3.30%,-3.70%,-2.70%,-2.40%,-2.80%,-0.40%,-0.30%,-0.50%,-1.7%,,-1.80%,0.0%,,0.00%
6/2020,-0.8%,-0.2%,-0.8%,-0.2%,0.4%,-0.20%,0.10%,0.40%,0.10%,-0.30%,0.10%,-0.30%,-0.8%,-0.20%,-0.80%,0.70%,0.50%,-0.60%,-3.70%,-3.90%,-3.10%,0.70%,0.50%,0.70%,-1.8%,-1.60%,-1.80%,0.0%,0.20%,0.00%,,,,0.7%,,0.70%,-4.5%,,-6.10%,0.5%,,0.70%,-0.40%,,-0.40%,-3.10%,,-3.30%,0.40%,0.50%,0.2%,,,,0.60%,,0.60%,-3.00%,-3.20%,-3.00%,-1.60%,-1.90%,-1.60%,0.60%,0.40%,0.60%,-0.9%,,-1.00%,0.5%,0.60%,0.50%
7/2020,-0.4%,-0.7%,-0.4%,0.6%,0.3%,0.60%,0.30%,0.40%,0.30%,0.50%,0.10%,0.50%,-0.4%,-0.70%,-0.40%,0.60%,0.50%,0.70%,-3.30%,-3.40%,-2.60%,0.60%,0.50%,0.70%,-1.7%,-1.80%,-1.70%,0.2%,0.10%,0.20%,,,,0.4%,,0.40%,-4.2%,,-4.20%,0.2%,,0.20%,-0.40%,,-0.40%,-2.30%,,-2.30%,0.70%,0.50%,0.7%,,,,3.20%,,3.20%,-2.40%,-2.50%,-2.40%,-0.90%,-1.10%,-0.90%,0.60%,0.30%,0.60%,-0.8%,,-0.80%,0.2%,,0.20%
8/2020,-0.2%,-0.3%,-0.2%,0.3%,0.2%,0.30%,0.60%,0.30%,0.60%,0.40%,0.20%,0.40%,-0.2%,-0.30%,-0.20%,0.10%,0.10%,0.70%,-2.50%,-2.70%,-2.30%,0.10%,0.10%,0.10%,-1.2%,-1.40%,-1.20%,0.0%,-0.10%,0.00%,,,,0.1%,,0.10%,-3.0%,,-3.00%,0.1%,,0.10%,-0.40%,,-0.40%,-2.30%,,-2.30%,0.30%,0.70%,0.3%,,,,3.30%,,3.30%,-2.00%,-2.00%,-2.00%,-0.50%,-0.50%,-0.60%,0.20%,0.20%,0.10%,-0.5%,,-0.50%,0.5%,-0.90%,0.50%
9/2020,0.4%,0.2%,0.4%,0.4%,0.2%,0.40%,1.20%,0.90%,1.20%,0.40%,0.20%,0.40%,0.4%,0.20%,0.40%,0.30%,0.30%,0.10%,-2.40%,-2.40%,-2.00%,0.30%,0.30%,0.40%,-1.0%,-1.40%,-1.00%,0.4%,-0.10%,0.40%,,,,0.2%,,0.30%,-3.1%,,-3.10%,0.1%,,0.10%,-0.40%,,-0.40%,-2.20%,,-2.20%,-0.10%,0.10%,-0.1%,,,,2.40%,,2.40%,-2.10%,-1.80%,-2.10%,-0.80%,-0.50%,-0.80%,-0.20%,0.20%,-0.20%,-0.4%,,-0.40%,0.1%,,0.20%
10/2020,0.5%,0.4%,0.5%,0.3%,0.2%,0.30%,1.10%,1.20%,1.10%,0.10%,0.20%,0.10%,0.5%,0.40%,0.50%,0.40%,0.20%,0.40%,-2.00%,-2.40%,-1.90%,0.40%,0.20%,0.40%,-0.7%,-0.70%,-0.70%,0.1%,0.10%,0.10%,,,,0.1%,,0.10%,-2.5%,,-2.40%,0.6%,,0.70%,-0.10%,,-0.10%,0.70%,,0.70%,-0.40%,0.10%,-0.4%,,,,3.40%,,3.40%,-2.10%,-2.00%,-2.10%,-2.10%,-2.10%,-2.10%,-0.20%,-0.20%,-0.20%,-0.6%,-0.10%,-0.40%,-0.5%,0.00%,0.20%
11/2020,0.8%,0.8%,0.8%,0.1%,0.2%,0.10%,1.40%,1.50%,1.40%,0.10%,0.20%,0.10%,0.8%,0.80%,0.80%,0.40%,0.10%,0.40%,-1.90%,-2.20%,-1.10%,0.40%,0.10%,0.40%,-0.5%,-0.60%,-0.50%,0.2%,0.10%,0.20%,,,,1.7%,,1.70%,-2.3%,,-2.30%,-0.2%,,-0.20%,-0.10%,,-0.10%,0.00%,,0.70%,-0.60%,,-0.6%,,,,1.40%,,1.40%,-1.50%,-1.80%,-1.50%,-2.20%,-2.20%,-2.30%,0.00%,,-0.10%,-0.3%,-0.80%,-0.50%,0.0%,-1.00%,-0.40%
